"model","outcome","model_type","term","estimate","std_error","t_value","p_value","ci_lower","ci_upper","R2_marginal","R2_conditional","AIC","BIC","random_intercept_var","random_slope_var","random_intercept_slope_cor","residual_var"
"TRIMP","sRPE_TL_exposure","RS","(Intercept)",552.91354688524,20.7512893894956,26.64478030773,1.34032258604647e-10,512.24176704906,593.58532672142,0.62227645067975,0.751759802601673,8812.16548145644,8853.52750608209,4309.13903149901,376.257313481452,-687.735380198032,9597.89202903858
"TRIMP","sRPE_TL_exposure","RS","TRIMP_within_z",222.840499268799,10.1407467468768,21.9747622962215,8.3884786278885e-22,202.965000868579,242.715997669019,0.62227645067975,0.751759802601673,8812.16548145644,8853.52750608209,4309.13903149901,376.257313481452,-687.735380198032,9597.89202903858
"TRIMP","sRPE_TL_exposure","RS","TRIMP_between_z",51.6728385862287,19.9662845196887,2.58800472042128,0.0295515190344992,12.5396400225592,90.8060371498982,0.62227645067975,0.751759802601673,8812.16548145644,8853.52750608209,4309.13903149901,376.257313481452,-687.735380198032,9597.89202903858
"TRIMP","sRPE_TL_exposure","RS","context_fgame",-500.827776026389,27.9917255700511,-17.8919936455162,3.16293840603967e-59,-555.690550008818,-445.965002043959,0.62227645067975,0.751759802601673,8812.16548145644,8853.52750608209,4309.13903149901,376.257313481452,-687.735380198032,9597.89202903858
"TRIMP","sRPE_TL_exposure","RS","TRIMP_within_z:context_fgame",-192.810182755819,21.0400294149251,-9.1639692584767,5.28651541643441e-19,-234.047882642736,-151.572482868902,0.62227645067975,0.751759802601673,8812.16548145644,8853.52750608209,4309.13903149901,376.257313481452,-687.735380198032,9597.89202903858
"HR80_mins","sRPE_TL_exposure","RS","(Intercept)",483.658205537822,18.9476649122228,25.5260058576307,2.88045882368195e-10,446.521464718732,520.794946356912,0.545845032892665,0.659936888504599,9002.33813385562,9043.70015848127,3539.49666436046,453.722725714849,-617.563830929266,12499.6329798512
"HR80_mins","sRPE_TL_exposure","RS","HR80_mins_within_z",125.296671528278,9.10687855249001,13.7584651871765,1.07306495479837e-10,107.447517553817,143.145825502738,0.545845032892665,0.659936888504599,9002.33813385562,9043.70015848127,3539.49666436046,453.722725714849,-617.563830929266,12499.6329798512
"HR80_mins","sRPE_TL_exposure","RS","HR80_mins_between_z",23.7103280108281,17.2425592403992,1.37510491802602,0.202887523448168,-10.0844671016528,57.5051231233089,0.545845032892665,0.659936888504599,9002.33813385562,9043.70015848127,3539.49666436046,453.722725714849,-617.563830929266,12499.6329798512
"HR80_mins","sRPE_TL_exposure","RS","context_fgame",-414.578466402436,20.173252848946,-20.5508982367262,3.66731002819774e-74,-454.11731543739,-375.039617367482,0.545845032892665,0.659936888504599,9002.33813385562,9043.70015848127,3539.49666436046,453.722725714849,-617.563830929266,12499.6329798512
"HR80_mins","sRPE_TL_exposure","RS","HR80_mins_within_z:context_fgame",-97.1671605198026,17.2645986377106,-5.62811580847082,2.61377250939256e-08,-131.005152057255,-63.3291689823506,0.545845032892665,0.659936888504599,9002.33813385562,9043.70015848127,3539.49666436046,453.722725714849,-617.563830929266,12499.6329798512
