"model","outcome","model_type","term","estimate","std_error","t_value","p_value","ci_lower","ci_upper","R2_marginal","R2_conditional","AIC","BIC","random_intercept_var","random_slope_var","random_intercept_slope_cor","residual_var"
"HR80_pct_rd","sRPE","RI","HR80_pct_rd_between_z",0.154626459361003,0.21071415415747,0.733820943254945,0.481830299933089,-0.25836569382046,0.567618612542465,0.260908225237364,0.471158680333958,2901.51425626272,2935.14655790316,0.543124277780649,NA,NA,1.36611623348078
"HR80_pct_rd","sRPE","RI","context_fgame",1.25080751080844,0.0855058564128901,14.6283256291656,1.40488982539494e-43,1.08321911177192,1.41839590984495,0.260908225237364,0.471158680333958,2901.51425626272,2935.14655790316,0.543124277780649,NA,NA,1.36611623348078
"HR80_pct_rd","sRPE","RI","HR80_pct_rd_within_z:context_fgame",-0.0136654299513836,0.113973130734455,-0.119900452530541,0.9045890541232,-0.23704866139619,0.209717801493423,0.260908225237364,0.471158680333958,2901.51425626272,2935.14655790316,0.543124277780649,NA,NA,1.36611623348078
"HR_peak","sRPE","RI","(Intercept)",5.6282245491404,0.241335317120043,23.3211807385028,1.41583349656743e-09,5.15521601938757,6.10123307889324,0.189212308181301,0.418966550960018,2993.42752112441,3027.05982276485,0.599364206377142,NA,NA,1.51575286641311
"HR_peak","sRPE","RI","HR_peak_within_z",0.503757706612882,0.0514644711288474,9.78845591071295,1.47939367738634e-21,0.402889196716939,0.604626216508824,0.189212308181301,0.418966550960018,2993.42752112441,3027.05982276485,0.599364206377142,NA,NA,1.51575286641311
"HR_peak","sRPE","RI","HR_peak_between_z",-0.0111438761423372,0.273999562935015,-0.0406711456871198,0.968446039932365,-0.548173151274682,0.525885398990008,0.189212308181301,0.418966550960018,2993.42752112441,3027.05982276485,0.599364206377142,NA,NA,1.51575286641311
"HR_peak","sRPE","RI","context_fgame",1.08172642879613,0.158200181974449,6.83770660245407,1.49471555127379e-11,0.771659769778524,1.39179308781373,0.189212308181301,0.418966550960018,2993.42752112441,3027.05982276485,0.599364206377142,NA,NA,1.51575286641311
"HR_peak","sRPE","RI","HR_peak_within_z:context_fgame",-0.529811772653617,0.15021816325339,-3.52694881350614,0.000441846835682929,-0.824233962454021,-0.235389582853214,0.189212308181301,0.418966550960018,2993.42752112441,3027.05982276485,0.599364206377142,NA,NA,1.51575286641311
"TRIMP_min","sRPE","RS","(Intercept)",5.46308231834558,0.226054344247975,24.1671193558339,3.4362151584954e-10,5.02002394507073,5.90614069162042,0.272303832888362,0.489253257407355,2883.82459733507,2927.06612801564,0.530607146584788,0.031099728133136,-0.108785195462071,1.32549280045874
"TRIMP_min","sRPE","RS","TRIMP_min_within_z",0.574459970275783,0.0677243397801309,8.48232662202074,4.29403064959389e-06,0.441722703429973,0.707197237121593,0.272303832888362,0.489253257407355,2883.82459733507,2927.06612801564,0.530607146584788,0.031099728133136,-0.108785195462071,1.32549280045874
