"athlete_id","position_group","n","r","ci_lo","ci_hi","pair"
"P05","Defenseman",61,0.752366300372367,0.61754688140823,0.844236733949163,"HR80 mins vs sRPE-TL"
"P06","Forward",77,0.738038964661687,0.615865912155886,0.825550143280885,"HR80 mins vs sRPE-TL"
"P07","Defenseman",86,0.817219743185468,0.732107960139759,0.87720769616116,"HR80 mins vs sRPE-TL"
"P08","Defenseman",84,0.814891027225122,0.727616845138537,0.876205480357103,"HR80 mins vs sRPE-TL"
"P09","Defenseman",41,0.85014696184644,0.73464027992753,0.917759231591579,"HR80 mins vs sRPE-TL"
"P10","Defenseman",73,0.767647717070594,0.652887264586598,0.847956815260154,"HR80 mins vs sRPE-TL"
"P11","Forward",71,0.762060858676953,0.643093834664388,0.845110931027317,"HR80 mins vs sRPE-TL"
"P12","Forward",82,0.893318837721904,0.838947106437513,0.930032976220289,"HR80 mins vs sRPE-TL"
"P13","Forward",86,0.858610718532401,0.790551229135808,0.90571905818767,"HR80 mins vs sRPE-TL"
"P14","Forward",92,0.782951435362861,0.688551598138492,0.851259150919006,"HR80 mins vs sRPE-TL"
"P15","Defenseman",62,0.704878861050531,0.552356517619366,0.811735834795219,"HR80 mins vs sRPE-TL"
"P16","Forward",86,0.797348336549723,0.704488138743418,0.863367674237221,"HR80 mins vs sRPE-TL"
"P17","Forward",39,0.501456465897363,0.22088786544721,0.705371070857361,"HR80 mins vs sRPE-TL"
"P18","Defenseman",85,0.859656301047442,0.791555917099732,0.906666818393001,"HR80 mins vs sRPE-TL"
"P19","Forward",72,0.607417682154793,0.437283470742971,0.735576258424942,"HR80 mins vs sRPE-TL"
"P20","Forward",47,0.509828086311042,0.260851409460302,0.695211907743526,"HR80 mins vs sRPE-TL"
"P21","Forward",88,0.658291996881045,0.520631351999685,0.762592457444774,"HR80 mins vs sRPE-TL"
"P22","Forward",90,0.791418150942696,0.698868565919509,0.857902726150693,"HR80 mins vs sRPE-TL"
"P23","Forward",54,0.73979240326056,0.588632409131263,0.84096795057963,"HR80 mins vs sRPE-TL"
