"athlete_id","position_group","n_pair","r","ci_lo","ci_hi","pair","context"
"P08","Defenseman",84,0.570956359192846,0.406295986769842,0.699700944663413,"TRIMP vs sRPE","overall"
"P09","Defenseman",73,0.55846805270396,0.376816073276922,0.698755564422495,"TRIMP vs sRPE","overall"
"P10","Forward",71,0.615912319246646,0.446813257055415,0.742519918072052,"TRIMP vs sRPE","overall"
"P11","Forward",82,0.735580309685747,0.617074407350309,0.821460795856595,"TRIMP vs sRPE","overall"
"P12","Forward",86,0.563112250747626,0.398819976735054,0.692379999079318,"TRIMP vs sRPE","overall"
"P13","Forward",92,0.622275947347739,0.478436710697644,0.73359456433959,"TRIMP vs sRPE","overall"
"P14","Defenseman",62,0.598043399537813,0.409433135254029,0.737630146065164,"TRIMP vs sRPE","overall"
"P15","Forward",86,0.474377459542002,0.29183405056382,0.623577688121376,"TRIMP vs sRPE","overall"
"P16","Defenseman",85,0.802953455389586,0.711605512031646,0.86760534687435,"TRIMP vs sRPE","overall"
"P17","Forward",72,0.583644577511813,0.407008492463567,0.718203352917641,"TRIMP vs sRPE","overall"
"P18","Forward",88,0.788423920963612,0.693498591527814,0.856442447995862,"TRIMP vs sRPE","overall"
"P19","Forward",90,0.512812853639486,0.342046757316617,0.650790660609348,"TRIMP vs sRPE","overall"
"P01","Forward",89,0.595635414789803,0.442235867096113,0.715177850641108,"HR80 mins vs sRPE","overall"
"P02","Forward",69,0.447374106065153,0.235644596379117,0.618558814988837,"HR80 mins vs sRPE","overall"
"P03","Defenseman",91,0.758676955592217,0.655086497014584,0.834270673180658,"HR80 mins vs sRPE","overall"
"P04","Defenseman",58,0.769279193688549,0.637694268161409,0.857240032214694,"HR80 mins vs sRPE","overall"
"P05","Defenseman",61,0.771472723567319,0.644947824522222,0.856833912394487,"HR80 mins vs sRPE","overall"
"P06","Forward",77,0.651732041343052,0.500866835740599,0.764162829767907,"HR80 mins vs sRPE","overall"
"P07","Defenseman",86,0.738192304582159,0.623897504999337,0.821570164796265,"HR80 mins vs sRPE","overall"
"P08","Defenseman",84,0.562655024861848,0.396033581225504,0.693404462333885,"HR80 mins vs sRPE","overall"
"P09","Defenseman",73,0.611523118895384,0.443910217960968,0.737789688407927,"HR80 mins vs sRPE","overall"
"P10","Forward",71,0.650673312936822,0.49206767253747,0.767471421230676,"HR80 mins vs sRPE","overall"
"P11","Forward",82,0.755796667197462,0.644495321691398,0.835732568021354,"HR80 mins vs sRPE","overall"
"P12","Forward",86,0.662064427613191,0.523643217828951,0.766428854631498,"HR80 mins vs sRPE","overall"
"P13","Forward",92,0.71233776571639,0.594215981354624,0.800380340757216,"HR80 mins vs sRPE","overall"
"P14","Defenseman",62,0.72239963259051,0.576683928523063,0.823569217209618,"HR80 mins vs sRPE","overall"
"P15","Forward",86,0.566965982310764,0.403569944095865,0.695315736354944,"HR80 mins vs sRPE","overall"
"P16","Defenseman",85,0.811564613311136,0.723596680545965,0.873589238660635,"HR80 mins vs sRPE","overall"
"P17","Forward",72,0.673595437505061,0.523641617418416,0.783065873407291,"HR80 mins vs sRPE","overall"
"P18","Forward",88,0.722349201781404,0.604337424850271,0.809345252945132,"HR80 mins vs sRPE","overall"
"P19","Forward",90,0.567531448889434,0.408445191564375,0.693155498673725,"HR80 mins vs sRPE","overall"
"P01","Forward",71,-0.416179780443469,-0.592002284937461,-0.202542137913403,"TRIMP vs sRPE-TL","overall"
"P02","Forward",57,-0.325446800850786,-0.540204614220834,-0.0708907441494952,"TRIMP vs sRPE-TL","overall"
"P03","Defenseman",73,-0.237588746114472,-0.443418167227778,-0.0079563756161617,"TRIMP vs sRPE-TL","overall"
"P04","Defenseman",51,0.255740168696417,-0.021348067534673,0.496342691618126,"TRIMP vs sRPE-TL","overall"
"P05","Defenseman",61,0.610553021973494,0.42390811955839,0.74745293682109,"TRIMP vs sRPE-TL","overall"
"P06","Forward",64,-0.247455470683334,-0.464981398568155,-0.00175280589441651,"TRIMP vs sRPE-TL","overall"
"P07","Defenseman",69,0.0268242793934101,-0.211197261380319,0.261842589933936,"TRIMP vs sRPE-TL","overall"
"P08","Defenseman",70,-0.268249168745743,-0.473384984083038,-0.0355136273332901,"TRIMP vs sRPE-TL","overall"
"P09","Defenseman",62,-0.400730327534516,-0.591314084638396,-0.16775241240357,"TRIMP vs sRPE-TL","overall"
"P10","Forward",59,-0.360274577716433,-0.564295031464486,-0.11478208969313,"TRIMP vs sRPE-TL","overall"
"P11","Forward",64,-0.246318121762515,-0.464031555349734,-0.000541633760808344,"TRIMP vs sRPE-TL","overall"
"P12","Forward",68,-0.228183524145863,-0.442532762741393,0.0108308135962818,"TRIMP vs sRPE-TL","overall"
"P13","Forward",74,0.0556365765185253,-0.17508803812147,0.280568481029438,"TRIMP vs sRPE-TL","overall"
"P14","Defenseman",45,0.25302813118262,-0.0437556122617684,0.508774194528273,"TRIMP vs sRPE-TL","overall"
"P15","Forward",68,-0.275328631517358,-0.482105766832386,-0.0394962843102707,"TRIMP vs sRPE-TL","overall"
"P16","Defenseman",70,-0.110506670499568,-0.336736915162059,0.127785453397541,"TRIMP vs sRPE-TL","overall"
